Lon,Lat,OBJECTID,Ownership,Pole_Num_1,Service,Bulb_Type,Wattage,Lumens,Mast_Arm,Photo_Cont,Luminaire_,Hand_Hold,Extra_Info,Inspection,Inspect_Date,Inspect_Time,Pole_Manuf,Pole_Model,Light_Manu,Light_Mode,POINT_X,POINT_Y,Fixture,Fixture_Model,Bracket,Banner_Arms,Address,Banner_Size,Pole_Number,Pole_Prefix,Pole_Suffix,Pole_Type,Pole_Suff_Seq,Owner_Asset,Light_Presence,created_user,created_date,last_edited_user,last_edited_date
-86.22705754,41.64933026,9734,AEP,J306-0217,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:41:59am,,,, ,174930.9478,2332086.447,,,,,,,J306-0217,,,Fiberglass,10733,-3,,,,,
-86.22644128,41.65012171,9735,AEP,J306-0218,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:22:34am,,,, ,175101.2438,2332373.744,,,,,,,J306-0218,,,Fiberglass,10734,-3,,,,,
-86.22602703,41.65017245,9736,AEP,J306-0219,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:21:13am,,,, ,175214.5757,2332391.498,,,,,,,J306-0219,,,Fiberglass,10735,-3,,,,,
-86.22614724,41.65029184,9737,AEP,J306-0222,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:21:56am,,,, ,175182.0051,2332435.214,,,,,,,J306-0222,,,Fiberglass,10736,-3,,,,,
-86.22579859,41.65039798,9738,AEP,J306-0223,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:19:55am,,,, ,175277.5414,2332473.272,,,,,,,J306-0223,,,Fiberglass,10737,-3,,,,,
-86.22576431,41.65072225,9739,AEP,J306-0225,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,05:18:30am,,,, ,175287.6746,2332591.365,,,,,,,J306-0225,,,Fiberglass,10738,-3,,,,,
-86.22577205,41.65116719,9740,AEP,J306-0226,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"S - 22,000 Lumens",No,No,No,No,,KB-TP,,05:16:45am,,,, ,175286.6118,2332753.508,,,,,,,J306-0226,,,Fiberglass,10739,-3,,,,,
-86.22820811,41.64923918,9741,AEP,J306-0230,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:01:27am,,,, ,174616.2824,2332055.307,,,,,,,J306-0230,,,Fiberglass,10740,-3,,,,,
-86.2278182,41.64933724,9742,AEP,J306-0231,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:03:24am,,,, ,174723.075,2332090.344,,,,,,,J306-0231,,,Fiberglass,10741,-3,,,,,
-86.22886984,41.64833029,9743,AEP,J306-0233,Underground,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,07:53:53am,,,, ,174433.2697,2331725.304,,,,,,,J306-0233,,,Fiberglass,10742,-3,,,,,
